Tweet,Classification
"?Schitzo?
????3?????????????12?Cuddles???????????????????????????????????????????????????????IT?????????????????????????????????Schizo????Schitzo?
????3?????????????12?Cuddles???????????????????????????????????????????????????????IT?????????????????????????????????Schizo????Schitzo?
????3?????????????12?Cuddles???????????????????????????????????????????????????????IT?????????????????????????????????Schizo????Schitzo?
????3?????????????12?Cuddles???????????????????????????????????????????????????????IT?????????????????????????????????Schizo????Schitzo?
????3?????????????12?Cuddles???????????????????????????????????????????????????????IT?????????????????????????????????Schizo???",
"Guns don’t kill people, psychotic lunatics do and the rest of us protect ourselves legally — apparently at least 2.5 million times a year. https://t.co/LpBeQxJIlP",2
What a fantastic piece by @philipvenables at the @LyricHammer yesterday conducted by @rchrdbkrmuso !! 4.48 Psychosis -- wow!,0
I need to sleep after this cigarette I feel like I’m in multiple dimensions combined and I have gained both Alzheimer’s and schizophrenia https://t.co/ZPD55jJMQv,1
"#NowPlaying: ""Psychotic Symphony"" by Sons Of Apollo (2017)

https://t.co/CtX3kYTFuf#NowPlaying: ""Psychotic Symphony"" by Sons Of Apollo (2017)

https://t.co/CtX3kYTFuf#NowPlaying: ""Psychotic Symphony"" by Sons Of Apollo (2017)

https://t.co/CtX3kYTFuf#NowPlaying: ""Psychotic Symphony"" by Sons Of Apollo (2017)

https://t.co/CtX3kYTFuf",0
Don't think that was the authors intention https://t.co/8AaAkk1Ka2,0
"A play that's drenched in sound

Why Sarah Kane's #448psychosis works as an operatic adaptation:
https://t.co/xQwtJsSGWXA play that's drenched in sound

Why Sarah Kane's #448psychosis works as an operatic adaptation:
https://t.co/xQwtJsSGWXA play that's drenched in sound

Why Sarah Kane's #448psychosis works as an operatic adaptation:
https://t.co/xQwtJsSGWXA play that's drenched in sound

Why Sarah Kane's #448psychosis works as an operatic adaptation:
https://t.co/xQwtJsSGWX",0
Symptoms of Schizophrenia https://t.co/4NyPXrrQpm via @YouTube,0
"@Deity_OfLove ""If I take one in Hell it'll be pure burning water and it'll set the blood alight because I can smell gasoline and  I'm scared to do anything because what if this was another one of those  incidents..."" He's sobbing. He's never had a psychot",0
"Are you calling who lil war, your totally psychotic friend, are they renting a room out at the psyc ward?",2
Glad to see that The Stage noticed that the revival is accurate to three decimal places. https://t.co/jOg1Ap9srC,0
"'As harrowing as it is truthful': my ***** review in @TheStage of #TedHuffman's @TheRoyalOpera production of #PhilipVenables' setting of #SarahKane's #4.48Psychosis @LyricHammer 
https://t.co/Y5HI20aXvI'As harrowing as it is truthful': my ***** review in @TheStage of #TedHuffman's @TheRoyalOpera production of #PhilipVenables' setting of #SarahKane's #4.48Psychosis @LyricHammer 
https://t.co/Y5HI20aXvI'As harrowing as it is truthful': my ***** review in @TheStage of #TedHuffman's @TheRoyalOpera production of #PhilipVenables' setting of #SarahKane's #4.48Psychosis @LyricHammer 
https://t.co/Y5HI20aXvI'As harrowing as it is truthful': my ***** review in @TheStage of #TedHuffman's @TheRoyalOpera production of #PhilipVenables' setting of #SarahKane's #4.48Psychosis @LyricHammer 
https://t.co/Y5HI20aXvI",0
@kanyewest Not a fucking chance you psychotic racist scum bag,2
Da hat sich ja die Vorzeigequotenfrau der einzigen Familienunternehmerpartei Rickli vor Jahren daran gemacht das zu verändern. Mit Erfolg. Mit Geld von deutschen Privatsendern. Irre schizo das Ganze. https://t.co/euNXZX4kmW,
@Ovalegal @PhototohP @dirtyybeau @jess_571 @rosalinekarr This is psychotic-level misogyny.,2
Stefánsson #GBD18: Mapping rare variants in families allowed the identification of the association between LoFs in RBM12 with psychosis (https://t.co/rypWlGW11A). Also see lower IQ and differential MRIs for individuals with LoFs in MAP1B.,0
MY STRUGGLE WITH SCHIZOPHRENIA AND BIPOLAR DISORDER https://t.co/3x8PK4QJ1a,0
Group pouts... Will lead to group psychosis… https://t.co/DHcJWFYZfA,1
Really looking forward to this on Saturday https://t.co/Gm8sMF1Fai,0
"@mxriumb You soo fkn need therapy, you psychotic bitch.",2
"@jwbussmann All are pleased of the sponsor but then arrives yu to say shits. You are psychotic, seek help",2
"Even after all this time so many people fail to understand that YOU DON'T MOB YOUR IDOLS ever, doesn't matter if they're just walking in public or at an airport. That kind of behavior is unjustifiable, disgusting and psychotic. They're also human, let them fuc@!ng breathe",2
Review: 4.48 Psychosis (Lyric Hammersmith) https://t.co/1QyoYHqokE https://t.co/49PldAQZUI,0
"Will @RahulGandhi & @INCIndia also admit what has been widely known? the blame for communal riots had been deftly passed on to the BJP over the years, creating a fear psychosis amongst Muslims for vote bank purposes! The mask had to come off sooner than later https://t.co/Y8UuxN6qzW",1
"L'équipe du Théâtre-Studio est ravi de vous rappeler la reprise de 4.48 PSYCHOSIS // Sarah Kane // Christian Benedetti du 16 Mai au 09 Juin ! 

Saluée par la critique, (re)découvrez l'article de Fabienne Pascaud dans @Telerama de l'année dernière ! https://t.co/UQ7uR2inBDL'équipe du Théâtre-Studio est ravi de vous rappeler la reprise de 4.48 PSYCHOSIS // Sarah Kane // Christian Benedetti du 16 Mai au 09 Juin ! 

Saluée par la critique, (re)découvrez l'article de Fabienne Pascaud dans @Telerama de l'année dernière ! https://t.co/UQ7uR2inBDL'équipe du Théâtre-Studio est ravi de vous rappeler la reprise de 4.48 PSYCHOSIS // Sarah Kane // Christian Benedetti du 16 Mai au 09 Juin ! 

Saluée par la critique, (re)découvrez l'article de Fabienne Pascaud dans @Telerama de l'année dernière ! https://t.co/UQ7uR2inBD",
@jdavismemphis https://t.co/NuSx3Jbiye,
"Yeah, incels are a fucking terrorist movement, and their race and sex is a reason not to treat their pain with sympathy. This is definitely not a psychotic view.",2
Opening night tonight! Have been loving working with this super bunch over the last few months. Just 3 performances so get booking! #limerick #theatre https://t.co/9by1mR7KY2,0
Scientists discover gene that predisposes Ashkenazi Jews to schizophrenia https://t.co/8cXxbUTwWp,0
Don't worry - A delusion within a psychosis always ends. But it will be a crisis point - What we the awakened are doing is trying to alleviate the worst excesses of the 'crisis' that is surely to come - We must prepare... https://t.co/mjwbtsGBfC,0
"What is it like living with #schizophrenia? 17-year-old Andrew Schubauer blogs: https://t.co/FX3Y0IdZXJ

#WednesdayWisdom https://t.co/mTKw2LlbYlWhat is it like living with #schizophrenia? 17-year-old Andrew Schubauer blogs: https://t.co/FX3Y0IdZXJ

#WednesdayWisdom https://t.co/mTKw2LlbYlWhat is it like living with #schizophrenia? 17-year-old Andrew Schubauer blogs: https://t.co/FX3Y0IdZXJ

#WednesdayWisdom https://t.co/mTKw2LlbYl",0
"[schizo] Brain, blood, cerebrospinal fluid, and serum biomarkers in schizophrenia. https://t.co/kjXCahJe1Y",0
And nothing is more stigmatised than schizophrenia. Great work being done on it by @Rethink_ (love to you and your mum) https://t.co/dwqmN212F3,0
@PakamamaniRenew https://t.co/NuSx3Jbiye,
"@PastorQueerly @michaelianblack Really? I see headlines just about daily reporting on some of that self defense delusional psychosis. Oh look, here's one now. In Nashville, no less. Guess it's not all offensive there. https://t.co/KhJsIOpunk",2
There is a venom movie? I thought you had a psychotic break again https://t.co/gBOUDLi0Wj,2
@OhRoyalOne https://t.co/NuSx3Jbiye,
"@SherlockDesi @Richarddawson64 Why is it that so much of the shit occurring happens after friday mosque?

Because they get their commands there.

Go, silly drones, go... do the bidding of your psychotic degenerate criminal warlord Prophet’s profit.@Sherlo",2
If we end up with this psychotic fantasist as PM then it's time to abandon ship. I mean it. He'll lead us down the path Mosley forged. https://t.co/eH4Y2CYgOK,2
#NAME?,2
"So many neurology consults that aren’t neurology consults tonight. Pneumosepsis, sinusitis, psychosis...",0
[schizo] Aberrant patterns of local and long-range functional connectivity densities in schizophrenia. https://t.co/ZdQC8AkfMo,0
sweetschizo: sweetschizo: Hey if you’re schizophrenic/psychotic I just want you to know that you’re a... https://t.co/oe3BLCAzvT,0
Analysis: We often hear about cannabis use and psychosis. So how strong is the risk? https://t.co/3fvNqxZpMl https://t.co/GuyNxpVEPG,0
"@mjsurveys @P34C3_M4K3R @abcnews And yet Carl Hart & colleagues remain insistent causal relationship between cannabis & psychosis far from proven. Still, a good conversation to be having right now:
https://t.co/5fDPAkLMQY@mjsurveys @P34C3_M4K3R @abcnews A",0
@fasi_zaka Do you have any idea what he is referring too? or is he schizophrenic?,1
https://t.co/dqFdIfjASX,
"@Catheri77148739 @Ferretgrove @mgreenaw @MikeH_PR Now hiding by a uniformed door , urgent knuckles.
Crikey.
( I'm allowed, my family invented psychotic dysfunction)
How we laugh.@Catheri77148739 @Ferretgrove @mgreenaw @MikeH_PR Now hiding by a uniformed d",2
Please retweet so Colleen will see ?? Thanks https://t.co/1t1ZSBIhjU,0
@WOTCHA999 https://t.co/NuSx3Jbiye,
[schizo] The relationship between illicit amphetamine use and psychiatric symptom profiles in schizophrenia and affective psychoses. https://t.co/HRr0fyq9jS,0
"These socially dysfunctional, delusional, self-entitled, misogynistic fuckheads w any number of psychological issues & poor fashion sense should take responsibility for women avoiding them like a herpe vs I can't get a handjob psychotic behavior like this
https://t.co/pjN9M5Wajm",2
Prognosi per il primo episodio di... https://t.co/srjE30nbsI,
Hoarding disorder ???????? https://t.co/KI3uSNc2Mt,0
Including The Obstructionists!!!!!!!!! https://t.co/cbU57cuAph,0
Love it! https://t.co/rqG2L7NeeW,0
"@thierrybaudet Diegene die in deze wereld nog durven lachen, zijn schizo. Dat zijn geen optimisten, zij kunnen t' leven niet aan. @POTUS https://t.co/iYkAP4W7Ll",
@kanyewest No chance. Plus your psychotic.,2
To all the idiots #taeun search. taeun is already over. taeun is not real. You`re psychotic.,
@gateteviews It doesn't take a schizophrenic 2 realise Kagame will stay beyond 2034. Good luck to Rwanda but honestly I still believe this man should av left office last year..let's hope he leaves at the end of the current term. I'm still struggling 2 understand Y he should stay on until 2034,1
Looking forward to this being in #Southend https://t.co/eLoDKXQJB6,0
"@BooHooTomi @PressSec @yashar They had an interpreter RIGHT THERE, so he knew ahead of time that they all didn't speak English.  Get over your psychotic hatred.  You're on the losing side and it's just going to get worse, while those of us on the Trump train are winning every single day.",2
"J'aime une vidéo @YouTube : ""Psychosis ?? (Clips in desc)"" à l'adresse https://t.co/Mb5psrHZ6C.",
"@AshwiniNangia Can we work together to find a drug to combat Schizophrenia(Sz)?. Plz. kindly respond promptly to how to go about doing it, Sir.-Venkata Krishna",0
"Roses are red violets are blue, I'm schizophrenic and so am I.",2
"@SaleemFarrukh Mr. Farrukh, you are hereby diagnosed as a selective reader  writer; a state similar to that of schizophrenia. 

Your only cure, accept that you read only part of the book, your naughty friend tore rest of the pages. April fool type scenario :)",1
"""Wild Bill"" - SCHIZOPHRENIC HEROIN ADDICT picked up an AK-47 in Kandahar to support his habit. https://t.co/oDDrOqTC8s “Saving Grace at Guantanamo bay: A Memoir of a Citizen Warrior” - Inside #Gitmo #MilitaryBook #VeteranAuthor #Nonfiction https://t.co/Rmys0Phrvw",0
The latest Psychosis Photo Daily! https://t.co/oXLF5lnlHM #breaking #aws,0
"Congratulations for Prof. Ashwini Nangia and his team for achieving a breakthrough in Anti TB research wrt Isoniazid. I worked on this chemical in my Ph.D in IICT, Sir, can we work together for the drug to combat schizophrenia?-VK https://t.co/L4LgfywKtW",0
????''..in my psychotic karmic fear I own your tears away..and I am you and we are not afraid..nevermore to feel the pain the heart collector sang..the words fall out like fire..just believe???? when you can't believe anymore..'' https://t.co/y3ruzzoDKH,1
Having a psychotic episode in your house alone is deffo not a good start to the day,0
Official Statistics: Mental Health Early Intervention in Psychosis for March 2018 https://t.co/jUw0ls4Vd0,0
“I love him Betty... I don’t know what to do” She whispered glancing up. https://t.co/z2rylz52zf,0
"@HermanaMam @ITV @BBCNews I lost my brother to suicide he had schizophrenia. The reaction from the sister  in corrie  was spot on for me. And I don't watch  soaps but alot  of my friends do, so it probably  gave them an insight  of what we as a family  went through.",0
@rantersndiggers Bunch of bored pseudo intellectuals! Anarchists are just downright psychotic!,2
"@TimesLIVE Absolute facts: Dagga does not affect ALL people psychotically. A large percentage WILL become schizophrenic. Most will move onto harder drugs and their lives will center around getting money for the next fix. If that's the sad life u want, go for it.",1
Mental Health In Theatre: Schizophrenia https://t.co/BBkmsVdPMq via @YouTube,0
"@haaretzcom Israel is attacking not defending. But that was the aim of Israel, attacking, being retaliated and then crying in the hoop the psychotic child in a man's body will say I help you. Israel is the aggressor for the last 20 years. NOT Iran who fight terrorists supported by Israel. https://t.co/uICUFxn5PR",2
This comment about Demolition Man is what all cursed grandpas believe is the highest form of manhood: a guy with schizophrenia who lives in the sewer and eats rats. https://t.co/stKfPBUr6e,2
#MentalHealthAwareness #EarphonesAward @HarperAudio @BloombergVO conveys every emotion that @marklukach expresses about Loving & caring for his wife when she has a psychotic break https://t.co/KaT6H1ZkIu https://t.co/q5QQddjytM,0
"???elegant theory???
New Evidence for Classic ‘Synaptic Pruning’ Hypothesis of Schizophrenia | Psychiatric News https://t.co/3oAYzWbbci",0
Cold parenting? Childhood schizophrenia? How the diagnosis of autism has evolved over time https://t.co/oEtl2WrYXw,0
Schizophrenic was found dead by river https://t.co/96rqKU1WIB,0
@gwen_no_fear misinterpreted & therefore how wildly have you misinterpreted reality? Language is a tool we use to reassure each other we are experiencing the same reality. If the guy next to me has different means for basic words than I have then one of us is psychotic,1
"@firebirdblog @THEAGENTAPSLEY @AkikoMHart @d_galasinski It’s a really important point. Really if everyone whose mental health difficulties, very much including distressing psychosis, stemmed from chronic trauma were ‘migrated’ to ‘Complex PTSD’, EVERYTHING would be radically different x",0
"Ur God's psychotic tantrum inflicted pan-species, near extinction-level genocide & utterly eclipses the amalgam of all human evil. #atheism",2
"Historians agree that Isaac Newton had bipolar disorder, autism, or schizophrenia, or some combination of all three.",0
"Really excited to have @ian_hamilton_ come to talk to us about women and drugs @pintofscience York next Tuesday!
The event is completely SOLD OUT, so hoping to have a brilliant crowd down!!
Getting researchers together with the general public in pubs. #PublicEngagement #research https://t.co/GVay2PnGYg",0
Check this out on https://t.co/8uXbwexMlg! https://t.co/DV9Mai25Cc,
"@michele5411 @lizzieohreally @PhilippeReines Journalism is now psychotic induced stalking, now reduced to being laughed at on social media.",2
"I unfollow/block people who post body horror based ""retweet or bad luck"" because I'm literally diagnosed with a psychotic disorder and I don't need any fuel to the plethora of things my brain comes up with on a daily basis like ohmygod",0
My mum – from Schizophrenia to Dementia in 60 years https://t.co/ZDWWq95PgE #dementia #schizophrenia #elderly #mentalhealth #mentalhealthmatters #thursdaythoughts #mentalhealthblog #mentalhealthblogger #counsellor,0
"What are the symptoms and phases of Schizophrenia? https://t.co/IVhkRl6lH5
#mentalhealth #MentalHealthAwarenessWeek #MentalHealthMonth #MentalHealthAwareness #mentalillness #schizophrenia",0
https://t.co/77XaTnagjC,
"4. I'm schizophrenic and while I'm currently doing well, I attribute that to my mostly having withdrawn from interacting with the rest of the world. There's absolutely nothing keeping me from having a full on meltdown in the middle of the wedding and ruining the entire day.",0
"@AnastasiaKLynch @questionsin2014 @Clintakakk @BuckmanScott @Dimisoso @LeeFeliciano322 @ndeem_malik @PizzaGateLibya @S_ergeyR_omanov @JeanEngel777 @malkaavram @sdeitch @SimonBradley22A @PoliticsBloke @destination1111 @VeronicaTalbot9 @FOYS75 @Qathem1 @IrishCouncils @PoppRobsona @swbhfx @dlsmith0817 @JudgeFudge5 @MactavishKev @james_anderssen @gallinini1 @ChinaCry @Sean_x_Larkin @sparklenaloha @mighty_jar @Rainbojangles @SisebutoG @Print2Fits @Wicked_SOB @zodluc @Darkplumm911 @Ialbabakri @MikeMZ82 @Ruud16994378 @TheGhostOf58 @laielkha @maurice_kuttab @MegamindSababa @Julkie96 @Johhny_Hyman26 @SamStev97679716 @x1Mmejor @sharkdiveruk @GrandRebbe1488 @NSRoundtable ""Threatened Israel""? Anyone who looks capable of standing-up to the psychotic bully & its delusion of divinely ordained exceptionalism is perceived as a ""threat"". Israel should be contained within some form of international straight-jacket for the wellbeing of the world",2
#QuestionYourAnswers Had me reliving my tidily compartmentalized psychosis of being hurled through the atmosphere in a metal can thanks safer than my car #Mazda3 #HelpMe,1
"As Russia slides further into Putin worshiping mass psychosis, it's kids are being readied to due for the Mafia-midget. https://t.co/6LrSjUNlH5",2
@MutualautuM Psychotic waltzs https://t.co/xUGV35lQ2W,1
"???HIPHOP??????
DIAMOND & PSYCHOTIC NEUROTICS
STUNTS, BLUNTS, & HIP… https://t.co/6sMBLaunmr",0
"@sinuous_io @SamMorein1 @OlanskyElla @PatrolBigot @Abramov_1948 @jcalabra @M0sstr00per @WobH @TelAvivYonatan @viewreader @crazyma46101800 @DSoryano @destination1111 @Ruthanasia @FazelM2 @nissatal @SuheylaTopuz @ThorsProvoni @leomonte63 @CentralPkWest @BlueGreenberg @Hakimyasin @Lolemali @lephophora @PhranqSanchez @ShiksaSusie @kc6885 @SamerJamal18 @Jonathon5760 @kindamuslim @scott767300 @NaxaRock @Dantes1999 @wurzel260654 @dan90125 @natasha367b @MagicGenie_58 @AS_4FreeMarkets @1OneMindAtATime @GlasgowFOI @Sean_x_Larkin @mdavidhfx @moon_boy9 @WittyWeasel @sparklenaloha @Devo_Too @RalphScenic @SALettersPatent @PopeOtto1917 An atheistic kabbalist is either a schizophrenic or a fraud
The personalities & subject matter of kabbalah are holistic with Judaism & Jewishness as I described
God, Torah, Israel (nation& land)
Atheists admit to no God (although atheism is a belief system)
No soap radio",1
"@SCayed @cjwerleman Jesus was this man not.... unfortunately...
Psychotic probably.",1
"How can I help someone or a loved one with schizophrenia? https://t.co/3LIZLLFNW7
#mentalhealth #MentalHealthAwarenessWeek #MentalHealthMonth #MentalHealthAwareness #mentalillness #schizophrenia",0
"Great to see work being done with this vulnerable patient cohort #PatientCare #MentalHealth #CommunityPharmacy #Pharmacy 
Service case study: Community pharmacies tackle inequalities for patients with psychosis https://t.co/gu3fiNOZjB",0
"I'm not loose, I like to party
Let's get lost in your Ferrari
Not psychotic or dramatic
I like boys, and that is that
Love it when you call me legs
In the morning buy me eggs
Watch your heart when we're together
Boys like you love me forever xx https://t.co/vJF05m3hFf",0
"Wow it's okay, that's love??
not your typical lovestory :)
the story was all bout psychological disorder such as schizophrenia,tourette  syndrome, and kung ikaw binibilang mo kung ilan step ang nagagawa mo everytime na naglalakad ka baka may obsessive compulsive disorder kana.",0
@Peter__Leonard Says the guy who pedals a bicycle next to the psychotic drivers of Central Asia on the roads of death.,2
The existent yak banqueted upon my schizophrenic record.,0
We shouldn't glamorize the most negative psychotic social phenomenon of the last 2 millenia https://t.co/znmopVUZQv,1
@RitaPanahi This really isn’t funny. These psychotic individuals are actually influencing policy.,2
Bark Psychosis-The Loom+ A Street Scene: https://t.co/VSZQnwHjzz via @YouTube,0
Autoimmune phenotypes in schizophrenia reveal novel treatment targets.... - Severance EG et al. - https://t.co/cZo74fIvtr #microbiome,0
On a roller coaster of emotions; from emotional to cold heartless state..   #schizophrenic,1
[schizo] The Importance of Social Cognition in Improving Functional Outcomes in Schizophrenia. https://t.co/2iPLhD24Di,0
Differential activity of transcribed enhancers in the prefrontal cortex of 537 cases with schizophrenia and controls. https://t.co/igkOc8vmqk,0
"@CNN Women did vote for Hillary in large numbers and that's because most women are as conniving & psychotic as Hillary is, but get over it, Trump won and I hope they put Hillary in jail.",2
The sane citizens of the country are highly looking forward to you working with @POTUS and his appointees.  Disregard the screeching Dems and Libs...their unbridled psychosis is to be shunned.  No reasoning or ability to think past framework of socialism/communism. Make us proud! https://t.co/Vx1vN3ydzT,2
"@SuperheroChar @fukujang0627 Lois never made a mistake w/terrorists, JIMMY OLSEN/GOVT DID.

Lois never made a mistake of investigating Lex, she’s not responsible for Lex’s psychotic behavior of ABDUCTION & PUSHING HER off a building.

Not her fault for Doomsday’s creation either, yet she tried to help.",2
@BBCTheOneShow celebrating #NHS with patient awards look forward to watching at 7pm on Friday! #Rehab #Psychosis - Aileen our lovely Staff Nurse is shortlisted! https://t.co/ZZl0YP3Qgg,0
"What do we know about #women, #cannabis and #psychosis? https://t.co/rX0DbJJjSY @Mental_Elf on the #evidence from a new review",0
"@rpnyfilm @FoxNews @IngrahamAngle @CNN She's schizo. She rails against neocons one night, them fawns over them on her show the next night. Is she selling out for ratings or really just that uninformed?",2
@ghostsofmerthyr See my other tweet about the schizophrenic man; another heartbreaker,0
Check this out on https://t.co/8uXbwexMlg! https://t.co/DV9Mai25Cc,0
"@MacdonaldWiTS @carpentertom @Atomas72 If I’m stumped, I either start audibly weeping and or I stand up and rip my outer shirt off- I yell “fight the REAL enemy!” And flip the table over. That sort of bold psychotic audacity wins deals.",2
"SO MUCH THIS! 
I don't watch Corrie but I've taped the omnibus this week bc this storyline though harrowing is something I want to watch. https://t.co/zh82OTaPQL",0
@lexingtonsharp she literally the MOST psychotic bitch on the planet. she’s mad at me bc she spent months pretending to be my friend so she could try to fuck nathan & mooch her way into living w/ us which obvi didn’t work. but yeah i’m the bad guy for pointing it out lmao,2
@sharproyce121 “Um run away as fast as I can before you are your psychotic boyfriend tie me up and torture me” he was about to walk away,2
I'm raising money for a water heater and protection for me and my son from my psychotic ex. Click to Donate:  https://t.co/oOVrpCrI2f via @gofundme,2
"Hey hemp lovers! ??

Did you know??

#CBD has demonstrated in clinical data it is an anti-psychotic and can help reduce schizophrenic episodes! ??

To learn more about #hempoil..

??Visit www.reserveinfusibles for more information ??

#schizophrenia #CBDoil #mentalhealth #hemp https://t.co/ePgmG3dHcw",0
@Billablog I take an anti-psychotic wafer every day. The diagnosis has changed over the years but I still have to watch myself and monitor my state of mind. I see a psychiatrist every two weeks.,0
#MentalHealthAwareness ..learn more at https://t.co/MzZXRY0oAV ...One in 5 adults experiences a mental health condition every year. One in 17 lives with a serious mental illness such as schizophrenia or bipolar disorder. #Support #Educate #BreakTheStigma,0
"@droonkhanpti @Mujjaahid La howla wa la qou'wata illa billa. Schizophrenic, psychopathic & delusional rubbish tola!! We shd all pray 2 rakats nafal for shukrana the  day our country is finally rid of these scum . Qaum k bhi mujrim or Deen k bhi mujrim.",
"@afneil As undoubtedly this country's most insightful and rational political journalist, Matthew Parris is struggling to come to terms with the collective psychosis that seems to have gripped our political class.",1
"@StephenMillerDC 

How have you managed to keep your job in that schizophrenic White House?
Hmmm.",2
@BrillAccounting @citycait This is what happens when you drink too much ale and develop Korsakoff's Psychosis.,1
#QuestionYourAnswers Had me reliving my tidily compartmentalized psychosis of being hurled through the atmosphere in a metal can that’s safer than my car #Mazda3 #HelpMe #Actingcoolthewholetimetho,1
"New review looks at the potential risk of cannabis use to women’s mental health, focusing specifically on early phase psychosis https://t.co/bQ13ldmoQ1 https://t.co/PTRi3Pk88J",0
"@Peternoyes4 @AaronBastani @johnmcdonnellMP or psychotic or gullible or some other negative things that don,t come to mind right now. You believe in fairy tales but you choose nasty ones ... odd",1
"I'm sick to death of hearing things from
Uptight short sided narrow minded hypocritics
All I want is the truth, just give me some truth
I've had enough of reading things
By neurotic psychotic pigheaded politicians

#relevant 

 https://t.co/p90tAg3JXP",2
"NO ONE CARES ABOUT CRAZY PEOPLE by Ron Powers is a memoir by the father of two schizophrenic sons, Dean and Kevin. https://t.co/FwPz0FpHk7 https://t.co/jbFYgOeOSa",0
Autoimmune phenotypes in schizophrenia reveal novel treatment targets. https://t.co/Ye8hz48u42 https://t.co/tbvGPd4AZM,0
At a slightly higher price due to dealing with psychotic bullshit this morning.,2
"""My psychotic state had me believe that any malpractice coming my way was only a reflection of the hideous things I'd done, and harmfully perpetuated my delusion that I wasn’t ill; I was evil."" Lomond Ward 2016 https://t.co/YE4zEt8U6Q",0
"What is schizophrenia - Causes, Signs and Symptoms, Treatments, https://t.co/3rXHEjnlae
#mentalhealth #MentalHealthAwarenessWeek #MentalHealthMonth #MentalHealthAwareness #mentalillness #schizophrenia",0
This. https://t.co/Qi4QkKw9Im,0
"@justjack652 @StevenErlanger @nytimes The view from the USA of Europe is a defenseless, schizophrenic continent",1
Zika virus causes #Microcephaly #Startup #ADHD #epilepsy #schizophrenia #epidemicexperience https://t.co/hlSse2xK3f https://t.co/gX87y8aPBA,0
Writing my @BrightClubEDN stand up routine today??Can anyone recommend a 'good' movie about psychosis/schizophrenia that goes beyond the 'clever plot twist' trope? @Mental_Elf @BPSOfficial @coffeepsychosis  @PCMHbps  @Emotionpiclist,0
"And it’s only mental illnesses like mild depression or anxiety a lot of people only recognise and would be empathetic with, if someone displayed symptoms of something like bpd or schizophrenia then they would actively distance themselves!!!! Damn this got me mad!!!!",0
"Really excited to have @ian_hamilton_ come to talk to us about women at drugs @pintofscience York next Tuesday!
The event is completely SOLD OUT! so hoping to have a brilliant crowd down!
#publicengagement #research https://t.co/GVay2PnGYg",0
"@unitedfronthk Xi Jinping has assumed many guises. Currently as Leader of China Communist Party & Emperor of China. But he is a paranoid psychopath with schizophrenic episodes, Hence his delusions about himself & the direction he takes China. An utter nutter leads the way. https://t.co/ppInAjf6yx",2
"What do we know about women, cannabis and psychosis? https://t.co/rJtybbBrsx via @NewsNowUK",0
New: Official Statistics: Mental Health Early Intervention in Psychosis for March 2018 https://t.co/in20VwkVBk,0
"Autoimmune phenotypes in schizophrenia reveal novel treatment targets https://t.co/zP40gy6y6D Severance, Dickerson and Yolken opine...",0
psychotic reaction | count five |,1
"Love or hate it, “Tully” is certainly sparking conversations about mental health for new mothers. Screenwriter Diablo Cody said she suffered from postpartum mental health issues and felt it was important to represent the experience onscreen. https://t.co/q2dmAqGb2S",0
[schizo] Differential activity of transcribed enhancers in the prefrontal cortex of 537 cases with schizophrenia and controls. https://t.co/SZ2FQbXfW9,0
Sometimes my jealousy can be boderline schizophrenia.,1
I added a video to a @YouTube playlist https://t.co/jhRSdFTo7n Psychosis or Spiritual Awakening: Phil Borges at TEDxUMKC,0
"My lust spins labrynthine clutches
The mask consumes delicate psychosis
The Devil spews forth dying prayers
Everything sobs sanguine penance
 
~ Neubauten Mordant",1
@CyclingMikey @gers_chick @RangersFranky Tight shorts and that half melon stuck on their napper has a way of turning normal people into psychotic abusers. Must be restrictions in the blood flow.,2
"Caregivers (often family members) provide emotional, logistic and financial support for people with treatment-resistant #schizophrenia (TRS). A study presented at #APAAM18 highlights the impact of TRS on #caregivers. #progressinmind #psychiatry #carer #mentalhealth",0
"#Schizophrenia affects your #body, not just your brain – new study @ConversationEDU https://t.co/AVMgIQdQD3",0
"Let's not throw words like ""psychotic"" around so casually okay? https://t.co/9zA8tjb4vD",0
@cameronmonaghan You are pretty good at this psychotic villain thing.,2
I had then been suffering with paranoid Schizophrenia for three years. I didn’t tell her for a very long time I heard voices every day. Looking back I am a little worse for wear now despite the tremendous opportunities that come with having some one provide support,0
he sees demons? maybe he's schizophrenic.,2
Me with Danny ?? https://t.co/H3purGl34q,0
@CollinRugg @WvTrump They are suffering terribly from acute psychotic paranoia!,1
"I am a huge @RuPaulsDragRace fan but WHY are tired jokes at the expense of folks with #MentalIllness peppered through it? Dusty’s straitjacket moment, a judge complimenting someone for their “schizo” performance (Season 8)... love you all but get into the 21st century! #dragrace",0
I don’t think there was anything more beneficial to my oncoming remission from Schizophrenia than having a personalised session every day in speaking to someone and being supported to find new ways to care for myself,0
What women should know before seeing 'Tully' https://t.co/InHHRlQ7W2 https://t.co/dlF5VIEg3z,0
Before I go to basic I’m getting my lashes and my hair done because who’s about to be looking psychotic,2
"Drs. Minshew & Eack are hopeful that there can be combined centers delivering CET & EST for adults suffering from autism, schizophrenia, & other neurodevelopmental conditions for which these interventions are indicated https://t.co/sLw1mmZvcQ",0
@RealSexyCyborg Dude is sounding like a paranoid schizophrenic when the meds stop.,2
These people really are that stupid. Trying to spin and criticize in ANY way the release of those 3 men is psychotic. https://t.co/I5XefJQCHF,2
Update on my psychosis: I drank enough 100prf vodka to forget what it was I couldn't forget. ????????,1
